Full Name,Email ID,Phone Number,Alternate Phone,Alternate Email,City,State/Region,Organisation,Enquiry Date,Status Notes,Source Campaign,Ready to Move In,Additional Comments
Lead 1,lead1@@gmail.com,9812345678,9911223344,leadalt1@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 2,lead2@gmail.com,981234568878,9911223344,leadalt2@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 3,lead3@gmail.com,9812345678,9911223344,leadalt3@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 4,lead4@gmail.com,9812345678,9911223344,leadalt4@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 5,lead5@gmail.com,9812345678,9911223344,leadalt5@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 6,lead6@gmail.com,9812345678,9911223344,leadalt6@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 7,lead7@gmail.com,9812345678,9911223344,leadalt7@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 8,lead8@gmail.com,9812345678,9911223344,leadalt8@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 9,lead9@gmail.com,9812345678,9911223344,leadalt9@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 10,lead10@gmail.com,9812345678,9911223344,leadalt10@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 11,lead11@gmail.com,9812345678,9911223344,leadalt11@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 12,lead12@gmail.com,9812345678,9911223344,leadalt12@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 13,lead13@gmail.com,9812345678,9911223344,leadalt13@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 14,lead14@gmail.com,9812345678,9911223344,leadalt14@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
